hr,steps,gsr,calories,temp
97,0,0.000598849,2.5,90.5
95,0,0.000436817,2.2,90.5
95,0,0.000477266,2.1,90.5
95,0,0.000272882,2.1,90.5
97,0,0.000186256,2.3,90.5
95,0,0.000340508,2.4,91.4
96,0,0.000533135,2.3,91.4
96,0,0.00057291,2.3,91.4
103,8,0.000595543,3.2,91.4
102,23,0.000411015,3,91.4
107,89,0.000654302,3.3,91.4
104,49,0.000124346,2.9,91.4
100,39,0.000200152,2.6,90.5
104,95,0.000179178,3,90.5
103,74,0.000172368,3,89.6
96,92,0.000152607,2.4,89.6
120,71,0.000121623,6.6,88.7
139,90,0.000113808,11.5,88.7
120,46,0.000113808,7,88.7
98,75,0.000107085,2.6,87.8
103,58,0.000135111,2.9,87.8
95,0,0.000136615,2.3,87.8
98,26,0.000139673,2.6,87.8
99,54,0.000162187,2.4,87.8
101,0,0.000103015,2.8,87.8
102,0,0.000108277,2.7,87.8
94,0,8.92E-05,2.2,87.8
99,0,0.000156023,2.4,87.8
97,0,0.000124346,2.2,86.9
96,0,7.94E-05,2.2,87.8
97,0,0.000209214,2.4,87.8
